method,dist,shape,mode,classification,deterministic,all_codes_eq_q0,final_linf,final_code_change_pct,min_cos,compression_ratio,lat_q_ms,lat_d_ms
affine_int8,normal,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000010668357167,4.0,1.5760300000238203,0.09222599987879221
affine_int8,normal,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.0000010668357167,4.0,0.26923699988401495,0.03532100004122185
affine_int8,normal,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.999990052426083,4.0,0.365799000064726,0.12219899986121163
affine_int8,normal,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,0.999990052426083,4.0,0.561223999966387,0.09223200004271348
affine_int8,normal,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000392178459556,4.0,12.822654000046896,3.355886000008468
affine_int8,normal,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.0000392178459556,4.0,9.896732000015618,3.1301530000291677
affine_int8,heavy,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000048085573607,4.0,0.429402999998274,0.03741899990927777
affine_int8,heavy,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.0000048085573607,4.0,0.28814600000259816,0.02338099989174225
affine_int8,heavy,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999921062563137,4.0,0.22643099987362802,0.09273000000575848
affine_int8,heavy,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,0.9999921062563137,4.0,0.3152270001010038,0.059506999832592555
affine_int8,heavy,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9996667952510561,4.0,3.8086279998879036,2.988831000038772
affine_int8,heavy,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,0.9996667952510561,4.0,7.627153999919756,3.142570999898453
affine_int8,outlier,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.000001190617842,4.0,0.41286099985882174,0.024904000156311668
affine_int8,outlier,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.000001190617842,4.0,0.22890800005370693,0.021479999986695475
affine_int8,outlier,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000171981385684,4.0,0.2267219999794179,0.05585000008068164
affine_int8,outlier,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0000171981385684,4.0,0.33506699992358335,0.060086999837949406
affine_int8,outlier,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.999896739915496,4.0,5.223005000061676,1.5921130000151607
affine_int8,outlier,llm_h8_s2048_d128,recomputed,NUMERICALLY-STABLE,True,True,7.62939453125e-06,0.0,0.999896927983695,4.0,6.940753999970184,1.8110609998984728
affine_int8,rope,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999983414063405,4.0,0.441207999983817,0.02467300009811879
affine_int8,rope,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,0.9999983414063405,4.0,0.21484400008375815,0.022596999997404055
affine_int8,rope,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999979853394335,4.0,0.28068300002814794,0.12852300005761208
affine_int8,rope,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,0.9999979853394335,4.0,0.336152999807382,0.06062099987502734
affine_int8,rope,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999372404768676,4.0,7.2640129999399505,3.2774769999832642
affine_int8,rope,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,0.9999372404768676,4.0,7.658902000002854,3.305882999939058
symmetric_int8,normal,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999991702323954,4.0,0.3585330000532849,0.026561999902696698
symmetric_int8,normal,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,0.9999991702323954,4.0,0.1545679999708227,0.01789699990695226
symmetric_int8,normal,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000001183999432,4.0,0.1916860001074383,0.035134999961883295
symmetric_int8,normal,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0000001183999432,4.0,0.19530700001268997,0.026413000114189344
symmetric_int8,normal,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.999789556672412,4.0,6.654360999846176,1.6057650000220747
symmetric_int8,normal,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,0.999789556672412,4.0,8.724777999987054,1.4614689998779795
